Sample	Staphylococcus aureus infection	Influenza A	Bile secretion	Cell cycle	Hepatitis C	Measles	Phagosome	Vibrio cholerae infection	mRNA surveillance pathway	mTOR signaling pathway	Ion channels	Basal transcription factors	G protein-coupled receptors
CC11D	815	5	1	1	1	1	1	1	2	1	590	5	219
CC03C	275	64	53	53	53	53	53	53	106	53	361	160	184
CC08C	115	17	7	7	7	7	7	7	14	7	322	21	20
CC09B	831	56	44	44	44	44	44	44	88	44	972	136	166
CC05D	1094	81	66	66	66	66	66	66	132	66	927	200	58
CC23B	223	146	111	111	111	111	111	111	222	111	617	335	193
CC15D	161	17	9	9	9	9	9	9	18	9	571	28	3
CC07C	2426	8	8	8	8	8	8	8	16	8	1065	24	4
CC18C	121	18	14	14	14	14	14	14	28	14	150	42	1
CC21C	390	24	13	13	13	13	13	13	26	13	297	39	3
CC17C	186	182	144	144	144	144	144	144	288	144	419	433	8
CC02B	228	7	0	0	0	0	0	0	0	0	253	1	2
CC07B	1942	27	14	14	14	14	14	14	28	14	1102	43	6
CC12D	251	6	3	3	3	3	3	3	6	3	251	9	53
CC22B	100	17	11	11	11	11	11	11	22	11	211	33	30
CC11B	352	7	7	7	7	7	7	7	14	7	340	23	150
CC13D	54	179	28	28	28	28	28	28	56	28	314	86	187
CC03B	557	28	28	28	28	28	28	28	56	28	377	84	105
CC04D	1132	86	83	83	83	83	83	83	166	83	923	251	4
CC14B	46	20	14	14	14	14	14	14	28	14	321	42	3
CC06D	183	13	3	3	3	3	3	3	6	3	267	9	4
CC01D	906	17	8	8	8	8	8	8	16	8	373	24	6
CC16B	472	20	19	19	19	19	19	19	38	19	293	57	4
CC07D	609	15	11	11	11	11	11	11	22	11	567	33	2
CC08B	813	15	9	9	9	9	9	9	18	9	767	31	389
CC24B	85	8	8	8	8	8	8	8	16	8	568	24	0
CC05B	308	11	10	10	10	10	10	10	20	10	170	30	3
CC04B	458	47	35	35	35	35	35	35	70	35	335	106	4
CC09C	1221	8	3	3	3	3	3	3	6	3	620	11	116
CC12B	276	4	4	4	4	4	4	4	8	4	374	13	165
CC01B	291	10	5	5	5	5	5	5	10	5	208	15	6
CC02D	507	132	112	112	112	112	112	112	224	112	1957	336	4
CC02C	198	4	3	3	3	3	3	3	6	3	305	9	3
CC11C	265	51	49	49	49	49	49	49	98	49	431	149	242
CC08D	223	19	18	18	18	18	18	18	36	18	412	55	38
CC01C	348	5	1	1	1	1	1	1	2	1	600	4	11
CC03D	846	80	71	71	71	71	71	71	142	71	918	214	382
CC13B	20	5	4	4	4	4	4	4	8	4	231	12	15
CC21B	184	4	2	2	2	2	2	2	4	2	187	6	2
CC09D	121	25	1	1	1	1	1	1	2	1	146	3	2
CC05C	261	9	7	7	7	7	7	7	14	7	815	23	79
CC04C	255	64	49	49	49	49	49	49	98	49	745	148	5
CC20D	212	50	41	41	41	41	41	41	82	41	468	123	4
CC06C	112	6	3	3	3	3	3	3	6	3	188	9	2
CC12C	331	12	7	7	7	7	7	7	14	7	426	22	292
CC21D	159	7	4	4	4	4	4	4	8	4	197	12	2
CC19D	118	139	128	128	128	128	128	128	256	128	1355	385	6
CC23D	242	9	4	4	4	4	4	4	8	4	1089	13	412
CC14C	95	23	21	21	21	21	21	21	42	21	208	63	4
CC14D	97	100	63	63	63	63	63	63	126	63	765	191	48
CC15B	76	7	1	1	1	1	1	1	2	1	99	3	2
CC17D	90	22	17	17	17	17	17	17	34	17	130	52	5
CC19B	39	6	3	3	3	3	3	3	6	3	413	9	2
CC20B	226	29	19	19	19	19	19	19	38	19	129	57	4
CC18D	83	66	61	61	61	61	61	61	122	61	545	183	4
CC22D	165	43	41	41	41	41	41	41	82	41	390	125	205
CC16D	127	54	43	43	43	43	43	43	86	43	375	129	4
CC24D	78	107	101	101	101	101	101	101	202	101	292	303	4
CC23C	54	103	98	98	98	98	98	98	196	98	886	298	54
CC22C	108	19	5	5	5	5	5	5	10	5	161	15	82
CC13C	110	71	59	59	59	59	59	59	118	59	461	178	168
CC15C	239	86	68	68	68	68	68	68	136	68	537	204	4
CC17B	143	54	48	48	48	48	48	48	96	48	145	145	2
CC20C	91	49	48	48	48	48	48	48	96	48	448	145	6
CC19C	34	75	41	41	41	41	41	41	82	41	160	123	2
CC16C	17	17	15	15	15	15	15	15	30	15	63	45	2
KEGG_Pathways	Human Diseases; Infectious Diseases; Staphylococcus aureus infection	Human Diseases; Infectious Diseases; Influenza A	Organismal Systems; Digestive System; Bile secretion	Cellular Processes; Cell Growth and Death; Cell cycle	Human Diseases; Infectious Diseases; Hepatitis C	Human Diseases; Infectious Diseases; Measles	Cellular Processes; Transport and Catabolism; Phagosome	Human Diseases; Infectious Diseases; Vibrio cholerae infection	Genetic Information Processing; Translation; mRNA surveillance pathway	Environmental Information Processing; Signal Transduction; mTOR signaling pathway	Environmental Information Processing; Signaling Molecules and Interaction; Ion channels	Genetic Information Processing; Transcription; Basal transcription factors	Environmental Information Processing; Signaling Molecules and Interaction; G protein-coupled receptors
