OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Never_mean	Daily_mean
Influenza A	40.7873063018	1.6973203009e-10	5.56721058696e-08	5.56721058696e-08	58.0526315789	108.601293103
Small cell lung cancer	35.2875661025	2.84442236389e-09	3.19017463249e-07	9.32970535354e-07	56.020242915	103.676724138
p53 signaling pathway	34.6553139271	3.93562777873e-09	3.19017463249e-07	1.29088591142e-06	58.2753036437	110.739224138
Colorectal cancer	33.8934387512	5.82146921746e-09	3.19017463249e-07	1.90944190333e-06	55.9989878543	103.642241379
Toxoplasmosis	33.8934387512	5.82146921746e-09	3.19017463249e-07	1.90944190333e-06	55.9989878543	103.644396552
Viral myocarditis	33.8886934479	5.83568530334e-09	3.19017463249e-07	1.9141047795e-06	56.0010121457	103.646551724
Cardiac muscle contraction	24.7158735168	6.6434752526e-07	3.11294268979e-05	0.000217905988285	327.292510121	367.370689655
Parkinson's disease	23.0243076023	1.59965993568e-06	6.55860573627e-05	0.000524688458902	384.487854251	471.426724138
Renin-angiotensin system	12.9038040693	0.000327914989525	0.0119506796182	0.107556116564	31.0617408907	27.1724137931
Betalain biosynthesis	10.164561341	0.00143165974497	0.046295137863	0.46958439635	2.75910931174	6.43103448276
Various types of N-glycan biosynthesis	10.0151462771	0.00155258084297	0.046295137863	0.509246516493	4.9979757085	10.2887931034
mRNA surveillance pathway	9.34943840811	0.00223053807616	0.0549735446723	0.73161648898	3.44028340081	9.36637931034
alpha-Linolenic acid metabolism	8.91077775683	0.00283492501086	0.0549735446723	0.929855403563	414.927125506	396.702586207
Retinol metabolism	8.83950261288	0.00294779471586	0.0549735446723	0.966876666803	2313.80263158	2167.25646552
Cell cycle	8.79725519094	0.00301684086616	0.0549735446723	0.989523804102	1.67307692308	4.60560344828
Hepatitis C	8.79725519094	0.00301684086616	0.0549735446723	0.989523804102	1.67307692308	4.60560344828
Measles	8.79725519094	0.00301684086616	0.0549735446723	0.989523804102	1.67307692308	4.60560344828
mTOR signaling pathway	8.79725519094	0.00301684086616	0.0549735446723	0.989523804102	1.67307692308	4.60560344828
CAM ligands	8.53486933035	0.00348406341827	0.0554196310272	1.0	0.0	0.0301724137931
